"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 13 04:08:38 UTC 2024","Tue Feb 13 04:08:44 UTC 2024","6543","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Feb 13 02:50:12 UTC 2024","Tue Feb 13 02:50:13 UTC 2024","589","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Feb 13 03:16:50 UTC 2024","Tue Feb 13 03:16:51 UTC 2024","1242","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Tue Feb 13 02:40:35 UTC 2024","Tue Feb 13 02:40:35 UTC 2024","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Feb 13 03:19:00 UTC 2024","Tue Feb 13 03:19:15 UTC 2024","14948","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Feb 13 04:05:36 UTC 2024","Tue Feb 13 04:05:44 UTC 2024","8413","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Feb 13 03:59:32 UTC 2024","Tue Feb 13 03:59:36 UTC 2024","4229","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Feb 13 03:42:41 UTC 2024","Tue Feb 13 03:42:44 UTC 2024","2755","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Feb 13 02:50:03 UTC 2024","Tue Feb 13 02:50:03 UTC 2024","193","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Tue Feb 13 02:56:45 UTC 2024","Tue Feb 13 02:56:53 UTC 2024","7725","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 13 04:05:44 UTC 2024","Tue Feb 13 04:05:44 UTC 2024","17","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Feb 13 03:02:49 UTC 2024","Tue Feb 13 03:02:51 UTC 2024","2095","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Feb 13 03:05:53 UTC 2024","Tue Feb 13 03:05:53 UTC 2024","362","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Feb 13 02:58:59 UTC 2024","Tue Feb 13 02:59:05 UTC 2024","5608","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","9. Complete Bank Details",""
"passed","Tue Feb 13 02:56:14 UTC 2024","Tue Feb 13 02:56:22 UTC 2024","7717","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Feb 13 03:48:35 UTC 2024","Tue Feb 13 03:48:37 UTC 2024","2293","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Feb 13 04:01:09 UTC 2024","Tue Feb 13 04:01:23 UTC 2024","14612","","20. Admin Portal - Check details","","","","1. Log in using manager login",""
"passed","Tue Feb 13 03:42:26 UTC 2024","Tue Feb 13 03:42:38 UTC 2024","11684","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Feb 13 03:59:05 UTC 2024","Tue Feb 13 03:59:20 UTC 2024","15346","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Feb 13 03:05:25 UTC 2024","Tue Feb 13 03:05:29 UTC 2024","4041","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 13 02:40:25 UTC 2024","Tue Feb 13 02:40:35 UTC 2024","9712","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Tue Feb 13 04:05:44 UTC 2024","Tue Feb 13 04:06:05 UTC 2024","20656","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Feb 13 04:01:24 UTC 2024","Tue Feb 13 04:01:30 UTC 2024","6198","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Feb 13 04:06:31 UTC 2024","Tue Feb 13 04:06:34 UTC 2024","3483","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Feb 13 03:04:44 UTC 2024","Tue Feb 13 03:05:01 UTC 2024","17044","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Feb 13 03:02:23 UTC 2024","Tue Feb 13 03:02:34 UTC 2024","11411","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Feb 13 02:58:00 UTC 2024","Tue Feb 13 02:58:04 UTC 2024","3540","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Feb 13 03:19:18 UTC 2024","Tue Feb 13 03:19:35 UTC 2024","17599","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Feb 13 04:17:21 UTC 2024","Tue Feb 13 04:17:28 UTC 2024","7401","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Feb 13 03:48:09 UTC 2024","Tue Feb 13 03:48:23 UTC 2024","14124","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Feb 13 04:09:26 UTC 2024","Tue Feb 13 04:10:33 UTC 2024","66452","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Feb 13 03:49:03 UTC 2024","Tue Feb 13 03:49:05 UTC 2024","1932","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Feb 13 03:48:37 UTC 2024","Tue Feb 13 03:48:40 UTC 2024","2739","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Tue Feb 13 03:48:27 UTC 2024","Tue Feb 13 03:48:29 UTC 2024","2488","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Feb 13 02:54:15 UTC 2024","Tue Feb 13 02:54:16 UTC 2024","419","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Feb 13 03:05:14 UTC 2024","Tue Feb 13 03:05:25 UTC 2024","10944","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Feb 13 03:00:01 UTC 2024","Tue Feb 13 03:00:05 UTC 2024","3075","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Tue Feb 13 02:40:25 UTC 2024","Tue Feb 13 02:40:25 UTC 2024","21","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Feb 13 04:01:43 UTC 2024","Tue Feb 13 04:01:44 UTC 2024","988","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Tue Feb 13 03:21:14 UTC 2024","Tue Feb 13 03:21:15 UTC 2024","1119","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Feb 13 02:58:58 UTC 2024","Tue Feb 13 02:58:59 UTC 2024","1238","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Tue Feb 13 02:53:59 UTC 2024","Tue Feb 13 02:54:12 UTC 2024","13761","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Feb 13 03:16:22 UTC 2024","Tue Feb 13 03:16:47 UTC 2024","25168","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Feb 13 03:21:20 UTC 2024","Tue Feb 13 03:21:21 UTC 2024","1396","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Feb 13 02:52:20 UTC 2024","Tue Feb 13 02:52:41 UTC 2024","21102","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 13 04:07:22 UTC 2024","Tue Feb 13 04:08:33 UTC 2024","70324","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Feb 13 02:42:43 UTC 2024","Tue Feb 13 02:43:27 UTC 2024","44115","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Tue Feb 13 03:02:51 UTC 2024","Tue Feb 13 03:03:10 UTC 2024","19451","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Tue Feb 13 02:56:22 UTC 2024","Tue Feb 13 02:56:26 UTC 2024","3990","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Feb 13 04:17:49 UTC 2024","Tue Feb 13 04:17:50 UTC 2024","1407","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Feb 13 02:47:39 UTC 2024","Tue Feb 13 02:47:57 UTC 2024","17924","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 13 03:16:11 UTC 2024","Tue Feb 13 03:16:22 UTC 2024","10945","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Tue Feb 13 03:52:32 UTC 2024","Tue Feb 13 03:52:47 UTC 2024","15524","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Feb 13 03:48:40 UTC 2024","Tue Feb 13 03:48:53 UTC 2024","12998","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Feb 13 02:54:12 UTC 2024","Tue Feb 13 02:54:15 UTC 2024","2807","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Feb 13 03:03:10 UTC 2024","Tue Feb 13 03:03:14 UTC 2024","3600","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Feb 13 02:56:26 UTC 2024","Tue Feb 13 02:56:45 UTC 2024","19044","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Tue Feb 13 02:52:09 UTC 2024","Tue Feb 13 02:52:16 UTC 2024","7396","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Feb 13 03:02:34 UTC 2024","Tue Feb 13 03:02:37 UTC 2024","2791","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Feb 13 02:44:08 UTC 2024","Tue Feb 13 02:44:26 UTC 2024","18401","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Tue Feb 13 04:17:18 UTC 2024","Tue Feb 13 04:17:21 UTC 2024","2823","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Feb 13 04:01:40 UTC 2024","Tue Feb 13 04:01:43 UTC 2024","2547","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Tue Feb 13 02:59:05 UTC 2024","Tue Feb 13 02:59:09 UTC 2024","3473","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Tue Feb 13 04:08:46 UTC 2024","Tue Feb 13 04:09:26 UTC 2024","40185","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Tue Feb 13 04:17:28 UTC 2024","Tue Feb 13 04:17:49 UTC 2024","20633","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Feb 13 03:20:59 UTC 2024","Tue Feb 13 03:21:14 UTC 2024","14853","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Tue Feb 13 03:48:23 UTC 2024","Tue Feb 13 03:48:27 UTC 2024","3144","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Tue Feb 13 02:40:35 UTC 2024","Tue Feb 13 02:40:59 UTC 2024","23734","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Feb 13 03:01:55 UTC 2024","Tue Feb 13 03:02:11 UTC 2024","16535","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 13 03:05:01 UTC 2024","Tue Feb 13 03:05:08 UTC 2024","7450","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Feb 13 02:52:16 UTC 2024","Tue Feb 13 02:52:20 UTC 2024","4070","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Feb 13 02:53:56 UTC 2024","Tue Feb 13 02:53:58 UTC 2024","2497","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Tue Feb 13 03:43:08 UTC 2024","Tue Feb 13 03:43:10 UTC 2024","1628","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Feb 13 03:16:51 UTC 2024","Tue Feb 13 03:17:02 UTC 2024","11212","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Feb 13 03:16:11 UTC 2024","Tue Feb 13 03:16:11 UTC 2024","295","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Feb 13 02:48:30 UTC 2024","Tue Feb 13 02:48:37 UTC 2024","6440","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Feb 13 04:06:05 UTC 2024","Tue Feb 13 04:06:31 UTC 2024","26145","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Feb 13 04:01:30 UTC 2024","Tue Feb 13 04:01:30 UTC 2024","326","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Feb 13 04:01:44 UTC 2024","Tue Feb 13 04:01:45 UTC 2024","853","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Feb 13 03:03:14 UTC 2024","Tue Feb 13 03:03:14 UTC 2024","387","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Feb 13 04:03:19 UTC 2024","Tue Feb 13 04:03:27 UTC 2024","8533","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Feb 13 03:19:15 UTC 2024","Tue Feb 13 03:19:18 UTC 2024","2916","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Tue Feb 13 02:44:31 UTC 2024","Tue Feb 13 02:45:36 UTC 2024","64700","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Feb 13 03:16:47 UTC 2024","Tue Feb 13 03:16:50 UTC 2024","2269","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Feb 13 03:42:38 UTC 2024","Tue Feb 13 03:42:41 UTC 2024","2971","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Feb 13 03:21:15 UTC 2024","Tue Feb 13 03:21:20 UTC 2024","4892","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Feb 13 03:02:11 UTC 2024","Tue Feb 13 03:02:19 UTC 2024","7503","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Tue Feb 13 02:55:58 UTC 2024","Tue Feb 13 02:56:14 UTC 2024","16484","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Feb 13 02:58:04 UTC 2024","Tue Feb 13 02:58:58 UTC 2024","54087","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
